t_bin,current_a,current_std,current_sigma_a,delta_f_hz,delta_f_sigma_hz,common_mode_hz,f_left_hz,f_right_hz,n
83,506.05468032,0.08613126049916987,0.1358195634,45447025.744,11561.364714,2870753618.8,2848030106.0,2893477131.6,5
84,506.0706603666667,0.03516641332201743,0.12042631999999999,45448386.01,10251.0460995,2870755399.6666665,2848031206.6666665,2893479592.8333335,6
85,506.1075207800001,0.0778712350464051,0.1101572472,45451523.68,9376.9121338,2870755582.2,2848029820.2,2893481344.0,5
86,506.24742657999997,0.10866929018851328,0.10912904279999999,45463432.88,9289.388299000002,2870756936.0,2848025219.6,2893488652.6,5
87,506.0891569666667,0.2243438869114797,0.2323594185,45449960.498333335,19779.12397,2870758416.0,2848033435.6666665,2893483396.3333335,6
88,506.2112159,0.09045613656111891,0.1592990358,45460350.515999995,13560.007141999999,2870755419.8,2848025244.6,2893485595.0,5
89,506.1705235,0.0976207001125469,0.15828112625000001,45456886.662499994,13473.35966,2870759082.5,2848030639.0,2893487526.0,4
90,506.18934820000004,0.11590108764426905,0.13641644,45458489.074999996,11612.172635833333,2870755492.8333335,2848026248.1666665,2893484737.5,6
91,506.18666673999996,0.07004527109204947,0.1617230788,45458260.82,13766.348902000002,2870756352.6,2848027222.2,2893485483.2,5
92,506.0934910333333,0.07159384379495196,0.13087268633333335,45450329.428333335,11140.271843833334,2870757765.3333335,2848032600.5,2893482930.0,6
93,506.2553129,0.07891775919723834,0.12544127966666666,45464104.18333334,10677.934367,2870758972.0,2848026919.6666665,2893491024.0,3
94,506.17852999999997,0.0792838364197247,0.14067915783333332,45457568.196666665,11975.02783,2870758170.1666665,2848029386.3333335,2893486954.3333335,6
95,506.25646462000003,0.14713574312888378,0.1261100248,45464202.22,10734.859955,2870760349.2,2848028248.2,2893492450.8,5
96,506.2827385,0.1337936603437615,0.1519029155,45466438.73166666,12930.427443333334,2870760528.1666665,2848027308.8333335,2893493747.6666665,6
97,506.2220393333334,0.018125183861789244,0.16816689633333334,45461271.836666666,14314.865786666667,2870758187.3333335,2848027551.3333335,2893488823.6666665,3
98,506.2999967166667,0.11883372546365471,0.16291671083333334,45467907.805,13867.954413333333,2870760800.1666665,2848026846.3333335,2893494754.0,6
99,506.2010568333333,0.07588009584181295,0.1563185765,45459485.748333335,13306.301605,2870760099.0,2848030356.1666665,2893489842.0,6
100,506.16013215,0.09658648555092006,0.15529229066666667,45456002.11666667,13218.941114833333,2870758894.1666665,2848030893.0,2893486895.1666665,6
101,506.20675596666666,0.107064589953247,0.17630033633333334,45459970.873333335,15007.208359999999,2870756288.6666665,2848026303.3333335,2893486274.3333335,3
102,506.2378787833334,0.06075238695496656,0.11588576683333333,45462620.13999999,9864.540723166667,2870760581.1666665,2848029271.1666665,2893491891.5,6
103,506.28350798,0.07645673889210773,0.092946611,45466504.234000005,7911.891629199999,2870756120.0,2848022867.8,2893489372.0,5
104,506.1717553333333,0.09158966408827077,0.10409980933333333,45456991.51833334,8861.2850075,2870759364.6666665,2848030868.6666665,2893487860.5,6
105,506.2017071,0.16659041918620518,0.18637342899999998,45459541.1,15864.659923333333,2870759497.3333335,2848029726.6666665,2893489268.3333335,3
106,506.23282021666665,0.12007169518429187,0.15824837916666668,45462189.54,13470.572143333333,2870755988.3333335,2848024893.3333335,2893487083.0,6
107,506.33489855,0.08796556369053642,0.14787178566666667,45470878.751666665,12587.285683333334,2870761784.1666665,2848026344.8333335,2893497223.3333335,6
108,506.30966393999995,0.0786393754490302,0.1803804638,45468730.706,15354.520929999999,2870761277.2,2848026911.8,2893495642.4,5
109,506.370061275,0.1048297925996818,0.1546627735,45473871.905,13165.354705,2870760660.25,2848023724.5,2893497596.5,4
110,506.38813206000003,0.05169534200020595,0.1312868404,45475410.146000005,11175.5258694,2870761697.4,2848023992.6,2893499402.6,5
111,506.2204482,0.1236696074644996,0.14623560533333332,45461136.4,12448.009133333333,2870755910.1666665,2848025342.0,2893486478.3333335,6
112,506.2438898666667,0.1859258651110274,0.21434954466666667,45463131.82333333,18246.07001,2870760060.0,2848028494.1666665,2893491626.0,6
113,506.2826905,0.037468493047172646,0.13485834975,45466434.6475,11479.54334675,2870759583.0,2848026365.5,2893492800.5,4
114,506.21546402,0.11422352298615732,0.10197424159999999,45460712.13,8680.3503768,2870756414.4,2848026058.4,2893486770.4,5
115,506.31090158333336,0.15649432203440689,0.16960090933333336,45468836.06,14436.933233333335,2870760262.8333335,2848025844.8333335,2893494680.8333335,6
116,506.2518564,0.11489015004731883,0.20367104519999998,45463809.956,17337.084398,2870760842.8,2848028938.0,2893492748.0,5
117,506.439481375,0.10431616499589318,0.17491454325,45479781.1525,14889.245532500001,2870759087.25,2848019197.0,2893498978.0,4
118,506.32632524,0.13127621460569136,0.17480994060000002,45470148.966,14880.341451999999,2870761450.4,2848026375.6,2893496524.6,5
119,506.3961675666667,0.0985210711901819,0.164106128,45476094.15166667,13969.201103333333,2870760432.6666665,2848022385.3333335,2893498479.5,6
